system:index,date,day,latitude,longitude,mean_2m_air_temperature,month,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,year,.geo
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030903_2,2003-09-03,3,41.33376948282493,-73.97633859179348,289.52097,9,0.0013076998,-2.1376889,0.79189444,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030903_3,2003-09-03,3,41.33376948282493,-73.9314228275875,289.52097,9,0.0013076998,-2.1376889,0.79189444,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030904_0,2003-09-04,4,41.3786852470309,-73.97633859179348,293.61865,9,0.0058185123,0.040472943,1.242815,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030904_1,2003-09-04,4,41.3786852470309,-73.9314228275875,293.61865,9,0.0058185123,0.040472943,1.242815,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030904_2,2003-09-04,4,41.33376948282493,-73.97633859179348,293.61865,9,0.0058185123,0.040472943,1.242815,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030904_3,2003-09-04,4,41.33376948282493,-73.9314228275875,293.61865,9,0.0058185123,0.040472943,1.242815,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030905_0,2003-09-05,5,41.3786852470309,-73.97633859179348,292.59048,9,1.0477379E-5,0.83473706,-1.9129953,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030905_1,2003-09-05,5,41.3786852470309,-73.9314228275875,292.59048,9,1.0477379E-5,0.83473706,-1.9129953,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030905_2,2003-09-05,5,41.33376948282493,-73.97633859179348,292.59048,9,1.0477379E-5,0.83473706,-1.9129953,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030905_3,2003-09-05,5,41.33376948282493,-73.9314228275875,292.59048,9,1.0477379E-5,0.83473706,-1.9129953,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030906_0,2003-09-06,6,41.3786852470309,-73.97633859179348,289.93704,9,0.0,0.5447803,-1.7464072,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030906_1,2003-09-06,6,41.3786852470309,-73.9314228275875,289.93704,9,0.0,0.5447803,-1.7464072,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030906_2,2003-09-06,6,41.33376948282493,-73.97633859179348,289.93704,9,0.0,0.5447803,-1.7464072,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030906_3,2003-09-06,6,41.33376948282493,-73.9314228275875,289.93704,9,0.0,0.5447803,-1.7464072,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030907_0,2003-09-07,7,41.3786852470309,-73.97633859179348,290.80524,9,4.0978193E-8,0.91897196,-0.12507568,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030907_1,2003-09-07,7,41.3786852470309,-73.9314228275875,290.80524,9,4.0978193E-8,0.91897196,-0.12507568,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030907_2,2003-09-07,7,41.33376948282493,-73.97633859179348,290.80524,9,4.0978193E-8,0.91897196,-0.12507568,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030907_3,2003-09-07,7,41.33376948282493,-73.9314228275875,290.80524,9,4.0978193E-8,0.91897196,-0.12507568,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030908_0,2003-09-08,8,41.3786852470309,-73.97633859179348,291.80557,9,1.0180101E-4,-0.2658408,-1.5375291,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030908_1,2003-09-08,8,41.3786852470309,-73.9314228275875,291.80557,9,1.0180101E-4,-0.2658408,-1.5375291,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030908_2,2003-09-08,8,41.33376948282493,-73.97633859179348,291.80557,9,1.0180101E-4,-0.2658408,-1.5375291,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030908_3,2003-09-08,8,41.33376948282493,-73.9314228275875,291.80557,9,1.0180101E-4,-0.2658408,-1.5375291,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030909_0,2003-09-09,9,41.3786852470309,-73.97633859179348,290.11945,9,3.2685697E-5,-1.446423,-1.3833324,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030909_1,2003-09-09,9,41.3786852470309,-73.9314228275875,290.11945,9,3.2685697E-5,-1.446423,-1.3833324,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030909_2,2003-09-09,9,41.33376948282493,-73.97633859179348,290.11945,9,3.2685697E-5,-1.446423,-1.3833324,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030909_3,2003-09-09,9,41.33376948282493,-73.9314228275875,290.11945,9,3.2685697E-5,-1.446423,-1.3833324,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030910_0,2003-09-10,10,41.3786852470309,-73.97633859179348,289.90543,9,1.3243407E-5,-0.24991967,-0.35291278,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030910_1,2003-09-10,10,41.3786852470309,-73.9314228275875,289.90543,9,1.3243407E-5,-0.24991967,-0.35291278,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030910_2,2003-09-10,10,41.33376948282493,-73.97633859179348,289.90543,9,1.3243407E-5,-0.24991967,-0.35291278,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030910_3,2003-09-10,10,41.33376948282493,-73.9314228275875,289.90543,9,1.3243407E-5,-0.24991967,-0.35291278,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030911_0,2003-09-11,11,41.3786852470309,-73.97633859179348,291.62863,9,5.8032572E-5,-0.68760586,-1.4295859,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030911_1,2003-09-11,11,41.3786852470309,-73.9314228275875,291.62863,9,5.8032572E-5,-0.68760586,-1.4295859,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030911_2,2003-09-11,11,41.33376948282493,-73.97633859179348,291.62863,9,5.8032572E-5,-0.68760586,-1.4295859,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030911_3,2003-09-11,11,41.33376948282493,-73.9314228275875,291.62863,9,5.8032572E-5,-0.68760586,-1.4295859,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030912_0,2003-09-12,12,41.3786852470309,-73.97633859179348,290.93777,9,0.0,-2.3666348,-0.15824153,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030912_1,2003-09-12,12,41.3786852470309,-73.9314228275875,290.93777,9,0.0,-2.3666348,-0.15824153,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030912_2,2003-09-12,12,41.33376948282493,-73.97633859179348,290.93777,9,0.0,-2.3666348,-0.15824153,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030912_3,2003-09-12,12,41.33376948282493,-73.9314228275875,290.93777,9,0.0,-2.3666348,-0.15824153,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030913_0,2003-09-13,13,41.3786852470309,-73.97633859179348,290.5991,9,0.00435137,-2.6137512,-1.0281385,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030913_1,2003-09-13,13,41.3786852470309,-73.9314228275875,290.5991,9,0.00435137,-2.6137512,-1.0281385,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030913_2,2003-09-13,13,41.33376948282493,-73.97633859179348,290.5991,9,0.00435137,-2.6137512,-1.0281385,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030913_3,2003-09-13,13,41.33376948282493,-73.9314228275875,290.5991,9,0.00435137,-2.6137512,-1.0281385,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030914_0,2003-09-14,14,41.3786852470309,-73.97633859179348,294.62903,9,0.0073953867,-2.1279442,1.082646,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030914_1,2003-09-14,14,41.3786852470309,-73.9314228275875,294.62903,9,0.0073953867,-2.1279442,1.082646,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030914_2,2003-09-14,14,41.33376948282493,-73.97633859179348,294.62903,9,0.0073953867,-2.1279442,1.082646,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030914_3,2003-09-14,14,41.33376948282493,-73.9314228275875,294.62903,9,0.0073953867,-2.1279442,1.082646,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030915_0,2003-09-15,15,41.3786852470309,-73.97633859179348,295.01727,9,0.00327418,-1.7542146,1.9101667,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030915_1,2003-09-15,15,41.3786852470309,-73.9314228275875,295.01727,9,0.00327418,-1.7542146,1.9101667,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030915_2,2003-09-15,15,41.33376948282493,-73.97633859179348,295.01727,9,0.00327418,-1.7542146,1.9101667,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030915_3,2003-09-15,15,41.33376948282493,-73.9314228275875,295.01727,9,0.00327418,-1.7542146,1.9101667,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030916_0,2003-09-16,16,41.3786852470309,-73.97633859179348,293.68405,9,0.009365248,0.8781791,-1.1642584,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030916_1,2003-09-16,16,41.3786852470309,-73.9314228275875,293.68405,9,0.009365248,0.8781791,-1.1642584,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030916_2,2003-09-16,16,41.33376948282493,-73.97633859179348,293.68405,9,0.009365248,0.8781791,-1.1642584,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030916_3,2003-09-16,16,41.33376948282493,-73.9314228275875,293.68405,9,0.009365248,0.8781791,-1.1642584,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030917_0,2003-09-17,17,41.3786852470309,-73.97633859179348,290.0014,9,9.313226E-10,-0.40393737,-1.5731386,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030917_1,2003-09-17,17,41.3786852470309,-73.9314228275875,290.0014,9,9.313226E-10,-0.40393737,-1.5731386,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030917_2,2003-09-17,17,41.33376948282493,-73.97633859179348,290.0014,9,9.313226E-10,-0.40393737,-1.5731386,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030917_3,2003-09-17,17,41.33376948282493,-73.9314228275875,290.0014,9,9.313226E-10,-0.40393737,-1.5731386,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030918_0,2003-09-18,18,41.3786852470309,-73.97633859179348,290.7056,9,2.142042E-8,-2.8256578,-1.9784365,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030918_1,2003-09-18,18,41.3786852470309,-73.9314228275875,290.7056,9,2.142042E-8,-2.8256578,-1.9784365,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030918_2,2003-09-18,18,41.33376948282493,-73.97633859179348,290.7056,9,2.142042E-8,-2.8256578,-1.9784365,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030918_3,2003-09-18,18,41.33376948282493,-73.9314228275875,290.7056,9,2.142042E-8,-2.8256578,-1.9784365,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030919_0,2003-09-19,19,41.3786852470309,-73.97633859179348,295.04944,9,0.01705268,-4.5900407,2.4462292,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030919_1,2003-09-19,19,41.3786852470309,-73.9314228275875,295.04944,9,0.01705268,-4.5900407,2.4462292,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030919_2,2003-09-19,19,41.33376948282493,-73.97633859179348,295.04944,9,0.01705268,-4.5900407,2.4462292,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030919_3,2003-09-19,19,41.33376948282493,-73.9314228275875,295.04944,9,0.01705268,-4.5900407,2.4462292,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030920_0,2003-09-20,20,41.3786852470309,-73.97633859179348,294.5814,9,0.0018899459,1.4338632,1.1565007,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030920_1,2003-09-20,20,41.3786852470309,-73.9314228275875,294.5814,9,0.0018899459,1.4338632,1.1565007,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030920_2,2003-09-20,20,41.33376948282493,-73.97633859179348,294.5814,9,0.0018899459,1.4338632,1.1565007,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030920_3,2003-09-20,20,41.33376948282493,-73.9314228275875,294.5814,9,0.0018899459,1.4338632,1.1565007,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030921_0,2003-09-21,21,41.3786852470309,-73.97633859179348,289.98618,9,0.0,0.22218974,-1.6557817,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030921_1,2003-09-21,21,41.3786852470309,-73.9314228275875,289.98618,9,0.0,0.22218974,-1.6557817,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030921_2,2003-09-21,21,41.33376948282493,-73.97633859179348,289.98618,9,0.0,0.22218974,-1.6557817,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030921_3,2003-09-21,21,41.33376948282493,-73.9314228275875,289.98618,9,0.0,0.22218974,-1.6557817,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030922_0,2003-09-22,22,41.3786852470309,-73.97633859179348,289.53146,9,2.2155233E-5,-1.1653708,0.6737023,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030922_1,2003-09-22,22,41.3786852470309,-73.9314228275875,289.53146,9,2.2155233E-5,-1.1653708,0.6737023,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030922_2,2003-09-22,22,41.33376948282493,-73.97633859179348,289.53146,9,2.2155233E-5,-1.1653708,0.6737023,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030922_3,2003-09-22,22,41.33376948282493,-73.9314228275875,289.53146,9,2.2155233E-5,-1.1653708,0.6737023,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030923_0,2003-09-23,23,41.3786852470309,-73.97633859179348,292.19803,9,0.033426035,-0.46669507,3.001854,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030923_1,2003-09-23,23,41.3786852470309,-73.9314228275875,292.19803,9,0.033426035,-0.46669507,3.001854,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.3786852470309]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030923_2,2003-09-23,23,41.33376948282493,-73.97633859179348,292.19803,9,0.033426035,-0.46669507,3.001854,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97633859179348,41.33376948282493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20030923_3,2003-09-23,23,41.33376948282493,-73.9314228275875,292.19803,9,0.033426035,-0.46669507,3.001854,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9314228275875,41.33376948282493]}"
